Q9; n=9; d=2*p^9+...; I=[ 1, 1, 0 ]; R=[ <1, 1>, <9, 0> ]; A=<t + 1>; f=x^9 + 6*x + 3; Aut=2T1; Gal=9T15
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 3*a*x^6 + 3*x^5 + 6*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 6*a*x^6 + 3*x^5 + 6*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 3*x^5 + 6*x^3 + 3; Aut=6T2; Gal=9T12
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + 1, t^3 + a>; f=x^9 + 3*x^5 + 6*a*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + 1, t^3 + a^2>; f=x^9 + 3*x^6 + 3*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + 1, t^3 + a^2>; f=x^9 + 6*x^6 + 3*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + 1, t^3 + a^2>; f=x^9 + 3*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + 1, t^3 + a^3>; f=x^9 + 3*x^5 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 3*x^6 + 3*x^5 + 3*x^3 + 3; Aut=6T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 6*x^6 + 3*x^5 + 3*x^3 + 3; Aut=6T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 1, t^3 + 2>; f=x^9 + 3*x^5 + 3*x^3 + 3; Aut=6T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + 1, t^3 + a^5>; f=x^9 + 3*x^5 + 3*a*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + 1, t^3 + a^6>; f=x^9 + 3*x^6 + 3*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + 1, t^3 + a^6>; f=x^9 + 6*x^6 + 3*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + 1, t^3 + a^6>; f=x^9 + 3*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=2*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + 1, t^3 + a^7>; f=x^9 + 3*x^5 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + a, t^3 + 1>; f=x^9 + 3*a*x^5 + 6*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a, t^3 + a>; f=x^9 + 3*x^6 + 3*a*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a, t^3 + a>; f=x^9 + 6*x^6 + 3*a*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a, t^3 + a>; f=x^9 + 3*a*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + a, t^3 + a^2>; f=x^9 + 3*a*x^5 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + a, t^3 + a^3>; f=x^9 + 3*a*x^6 + 3*a*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + a, t^3 + a^3>; f=x^9 + 6*a*x^6 + 3*a*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + a, t^3 + a^3>; f=x^9 + 3*a*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + a, t^3 + 2>; f=x^9 + 3*a*x^5 + 3*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + a, t^3 + a^5>; f=x^9 + 3*x^6 + 3*a*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + a, t^3 + a^5>; f=x^9 + 6*x^6 + 3*a*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + a, t^3 + a^5>; f=x^9 + 3*a*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + a, t^3 + a^6>; f=x^9 + 3*a*x^5 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + a, t^3 + a^7>; f=x^9 + 3*x^6 + 3*a*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + a, t^3 + a^7>; f=x^9 + 6*x^6 + 3*a*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^5*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + a, t^3 + a^7>; f=x^9 + 3*a*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + a^2, t^3 + 1>; f=x^9 + 3*x^6 + (3*a + 3)*x^5 + 6*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + a^2, t^3 + 1>; f=x^9 + 6*x^6 + (3*a + 3)*x^5 + 6*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + a^2, t^3 + 1>; f=x^9 + (3*a + 3)*x^5 + 6*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a^2, t^3 + a>; f=x^9 + (3*a + 3)*x^5 + 6*a*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + a^2, t^3 + a^2>; f=x^9 + 3*x^6 + (3*a + 3)*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + a^2, t^3 + a^2>; f=x^9 + 6*x^6 + (3*a + 3)*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + a^2, t^3 + a^2>; f=x^9 + (3*a + 3)*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + a^2, t^3 + a^3>; f=x^9 + (3*a + 3)*x^5 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + a^2, t^3 + 2>; f=x^9 + 3*x^6 + (3*a + 3)*x^5 + 3*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + a^2, t^3 + 2>; f=x^9 + 6*x^6 + (3*a + 3)*x^5 + 3*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + a^2, t^3 + 2>; f=x^9 + (3*a + 3)*x^5 + 3*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + a^2, t^3 + a^5>; f=x^9 + (3*a + 3)*x^5 + 3*a*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + a^2, t^3 + a^6>; f=x^9 + 3*a*x^6 + (3*a + 3)*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + a^2, t^3 + a^6>; f=x^9 + 6*a*x^6 + (3*a + 3)*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + a^2, t^3 + a^6>; f=x^9 + (3*a + 3)*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^6*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + a^2, t^3 + a^7>; f=x^9 + (3*a + 3)*x^5 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + a^3, t^3 + 1>; f=x^9 + (6*a + 3)*x^5 + 6*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a^3, t^3 + a>; f=x^9 + 3*a*x^6 + (6*a + 3)*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a^3, t^3 + a>; f=x^9 + 6*a*x^6 + (6*a + 3)*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a^3, t^3 + a>; f=x^9 + (6*a + 3)*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + a^3, t^3 + a^2>; f=x^9 + (6*a + 3)*x^5 + (6*a + 6)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + a^3, t^3 + a^3>; f=x^9 + 3*x^6 + (6*a + 3)*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + a^3, t^3 + a^3>; f=x^9 + 6*x^6 + (6*a + 3)*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + a^3, t^3 + a^3>; f=x^9 + (6*a + 3)*x^5 + (3*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + a^3, t^3 + 2>; f=x^9 + (6*a + 3)*x^5 + 3*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + a^3, t^3 + a^5>; f=x^9 + 3*x^6 + (6*a + 3)*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + a^3, t^3 + a^5>; f=x^9 + 6*x^6 + (6*a + 3)*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + a^3, t^3 + a^5>; f=x^9 + (6*a + 3)*x^5 + 3*a*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + a^3, t^3 + a^6>; f=x^9 + (6*a + 3)*x^5 + (3*a + 3)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + a^3, t^3 + a^7>; f=x^9 + 3*x^6 + (6*a + 3)*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + a^3, t^3 + a^7>; f=x^9 + 6*x^6 + (6*a + 3)*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a^7*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + a^3, t^3 + a^7>; f=x^9 + (6*a + 3)*x^5 + (6*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 2, t^3 + 1>; f=x^9 + 3*x^6 + 6*x^5 + 6*x^3 + 3; Aut=6T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 2, t^3 + 1>; f=x^9 + 6*x^6 + 6*x^5 + 6*x^3 + 3; Aut=6T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + 2, t^3 + 1>; f=x^9 + 6*x^5 + 6*x^3 + 3; Aut=6T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + 2, t^3 + a>; f=x^9 + 6*x^5 + 6*a*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + 2, t^3 + a^2>; f=x^9 + 3*x^6 + 6*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + 2, t^3 + a^2>; f=x^9 + 6*x^6 + 6*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^2*t^2 + 2, t^3 + a^2>; f=x^9 + 6*x^5 + (6*a + 6)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^3*t^2 + 2, t^3 + a^3>; f=x^9 + 6*x^5 + (3*a + 6)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 2, t^3 + 2>; f=x^9 + 3*a*x^6 + 6*x^5 + 3*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 2, t^3 + 2>; f=x^9 + 6*a*x^6 + 6*x^5 + 3*x^3 + 3; Aut=3T1; Gal=9T12
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<2*t^2 + 2, t^3 + 2>; f=x^9 + 6*x^5 + 3*x^3 + 3; Aut=6T2; Gal=9T12
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^5*t^2 + 2, t^3 + a^5>; f=x^9 + 6*x^5 + 3*a*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + 2, t^3 + a^6>; f=x^9 + 3*x^6 + 6*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + 2, t^3 + a^6>; f=x^9 + 6*x^6 + 6*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^6*t^2 + 2, t^3 + a^6>; f=x^9 + 6*x^5 + (3*a + 3)*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=1*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a^7*t^2 + 2, t^3 + a^7>; f=x^9 + 6*x^5 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<t^2 + a^5, t^3 + 1>; f=x^9 + 6*a*x^5 + 6*x^3 + 3; Aut=1T1; Gal=9T18
Q9; n=9; d=a*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a^5, t^3 + a>; f=x^9 + 3*x^6 + 6*a*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a^5, t^3 + a>; f=x^9 + 6*x^6 + 6*a*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
Q9; n=9; d=a*p^13+...; I=[ 5, 3, 0 ]; R=[ <1, 5>, <3, 3>, <9, 0> ]; A=<a*t^2 + a^5, t^3 + a>; f=x^9 + 6*a*x^5 + 6*a*x^3 + 3; Aut=3T1; Gal=9T20
